station_id,bikes_available,docks_available,time
76,17,2,2013/11/01 19:34:01
76,17,2,2013/11/01 19:35:02
76,17,2,2013/11/01 19:36:01
76,17,2,2013/11/01 19:37:01
76,17,2,2013/11/01 19:38:01
76,14,5,2014/01/31 11:35:03
76,14,5,2014/01/31 11:36:02
76,14,5,2014/01/31 11:37:02
76,14,5,2014/01/31 11:38:02
76,14,5,2014/01/31 11:39:02
77,6,17,2013/11/01 19:36:01
77,6,17,2013/11/01 19:37:01
77,6,17,2013/11/01 19:38:01
77,6,17,2013/11/01 19:39:01
77,6,17,2013/11/01 19:40:01
77,11,16,2014/01/31 11:37:02
77,11,16,2014/01/31 11:38:02
77,11,16,2014/01/31 11:39:02
77,10,17,2014/01/31 11:40:02
77,10,17,2014/01/31 11:41:03
82,5,10,2014/01/24 20:42:02
82,5,10,2014/01/24 20:43:02
82,5,10,2014/01/24 20:44:02
82,5,10,2014/01/24 20:45:02
82,5,10,2014/01/24 20:46:02
2,6,21,2014-04-18 04:50:03
2,6,21,2014-04-18 04:51:02
2,6,21,2014-04-18 04:52:02
2,6,21,2014-04-18 04:53:02
2,6,21,2014-04-18 04:54:02
2,17,10,2014-07-17 15:38:03
2,17,10,2014-07-17 15:39:03
2,17,10,2014-07-17 15:40:03
2,17,10,2014-07-17 15:41:03
2,17,10,2014-07-17 15:42:02
3,5,10,2014-04-16 10:31:03
3,5,10,2014-04-16 10:32:03
3,5,10,2014-04-16 10:33:03
3,5,10,2014-04-16 10:34:02
3,5,10,2014-04-16 10:35:03
3,7,8,2014-07-15 21:19:02
3,7,8,2014-07-15 21:20:02
3,7,8,2014-07-15 21:21:02
3,7,8,2014-07-15 21:22:02
3,7,8,2014-07-15 21:23:03
4,8,3,2014-04-14 16:12:02
4,8,3,2014-04-14 16:13:02
4,7,4,2014-04-14 16:14:02
4,7,4,2014-04-14 16:15:02
4,7,4,2014-04-14 16:16:03
4,5,6,2014-07-14 03:02:02
4,5,6,2014-07-14 03:03:03
4,5,6,2014-07-14 03:04:02
4,5,6,2014-07-14 03:05:02
4,5,6,2014-07-14 03:06:03
5,9,10,2014-04-12 21:55:02
5,9,10,2014-04-12 21:56:02
5,9,10,2014-04-12 21:57:02
5,9,10,2014-04-12 21:58:03
5,9,10,2014-04-12 21:59:02
5,10,9,2014-07-12 08:43:03
5,10,9,2014-07-12 08:44:02
5,10,9,2014-07-12 08:45:03
5,10,9,2014-07-12 08:46:02
5,10,9,2014-07-12 08:47:02
6,8,7,2014-04-11 03:31:03
6,8,7,2014-04-11 03:32:03
6,8,7,2014-04-11 03:33:02
6,8,7,2014-04-11 03:34:02
6,8,7,2014-04-11 03:35:02
